country,year,env_tax
AT,2000,5.68
AT,2001,5.86
AT,2002,6.13
AT,2003,6.33
AT,2004,6.33
AT,2005,6.27
AT,2006,6.0
AT,2007,5.83
AT,2008,5.66
AT,2009,5.73
AT,2010,5.68
AT,2011,5.87
AT,2012,5.75
AT,2013,5.58
AT,2014,5.59
AT,2015,5.51
AT,2016,5.61
AT,2017,5.71
AT,2018,5.43
BE,2000,5.43
BE,2001,5.42
BE,2002,5.28
BE,2003,5.52
BE,2004,5.77
BE,2005,5.79
BE,2006,5.4
BE,2007,5.39
BE,2008,5.22
BE,2009,5.46
BE,2010,5.61
BE,2011,5.8
BE,2012,5.56
BE,2013,5.48
BE,2014,5.57
BE,2015,5.66
BE,2016,6.08
BE,2017,6.09
BE,2018,6.02
DE,2000,5.83
DE,2001,6.47
DE,2002,6.56
DE,2003,6.84
DE,2004,6.68
DE,2005,6.49
DE,2006,6.26
DE,2007,5.77
DE,2008,5.69
DE,2009,5.85
DE,2010,5.77
DE,2011,5.78
DE,2012,5.53
DE,2013,5.36
DE,2014,5.2
DE,2015,4.96
DE,2016,4.76
DE,2017,4.61
DE,2018,4.45
DK,2000,10.32
DK,2001,10.49
DK,2002,11.01
DK,2003,10.54
DK,2004,10.75
DK,2005,10.25
DK,2006,10.07
DK,2007,10.21
DK,2008,9.32
DK,2009,8.88
DK,2010,8.92
DK,2011,8.92
DK,2012,8.67
DK,2013,8.95
DK,2014,8.17
DK,2015,8.57
DK,2016,8.54
DK,2017,8.08
DK,2018,8.13
ES,2000,6.44
ES,2001,6.16
ES,2002,6.06
ES,2003,6.03
ES,2004,5.74
ES,2005,5.39
ES,2006,5.08
ES,2007,4.86
ES,2008,5.09
ES,2009,5.45
ES,2010,5.25
ES,2011,5.08
ES,2012,4.88
ES,2013,5.8
ES,2014,5.52
ES,2015,5.7
ES,2016,5.54
ES,2017,5.42
ES,2018,5.28
FI,2000,6.67
FI,2001,6.67
FI,2002,6.86
FI,2003,7.28
FI,2004,7.47
FI,2005,7.06
FI,2006,6.91
FI,2007,6.41
FI,2008,6.3
FI,2009,6.19
FI,2010,6.57
FI,2011,7.18
FI,2012,6.98
FI,2013,6.71
FI,2014,6.62
FI,2015,6.65
