country,year,ghg_e_pc,env_tax,CLV10_EUR_HAB,CLV_PCH_PRE_HAB
AT,2000,10.3,5.68,31710.0,3.1
AT,2001,10.7,5.86,31990.0,0.9
AT,2002,10.8,6.13,32360.0,1.2
AT,2003,11.5,6.33,32520.0,0.5
AT,2004,11.4,6.33,33200.0,2.1
AT,2005,11.5,6.27,33710.0,1.5
AT,2006,11.1,6.0,34700.0,2.9
AT,2007,10.8,5.83,35870.0,3.4
AT,2008,10.7,5.66,36280.0,1.1
AT,2009,9.9,5.73,34830.0,-4.0
AT,2010,10.4,5.68,35390.0,1.6
AT,2011,10.1,5.87,36300.0,2.6
AT,2012,9.7,5.75,36390.0,0.2
AT,2013,9.7,5.58,36180.0,-0.6
AT,2014,9.2,5.59,36130.0,-0.1
AT,2015,9.4,5.51,36140.0,0.0
AT,2016,9.4,5.61,36430.0,0.8
AT,2017,9.6,5.71,37090.0,1.8
BE,2000,15.1,5.43,29890.0,3.5
BE,2001,14.8,5.42,30110.0,0.7
BE,2002,14.6,5.28,30490.0,1.3
BE,2003,14.6,5.52,30680.0,0.6
BE,2004,14.7,5.77,31640.0,3.1
BE,2005,14.2,5.79,32200.0,1.8
BE,2006,13.9,5.4,32800.0,1.9
BE,2007,13.5,5.39,33760.0,2.9
BE,2008,13.4,5.22,33640.0,-0.3
BE,2009,12.1,5.46,32700.0,-2.8
BE,2010,12.6,5.61,33330.0,1.9
BE,2011,11.5,5.8,33460.0,0.4
BE,2012,11.1,5.56,33490.0,0.1
BE,2013,11.0,5.48,33490.0,0.0
BE,2014,10.5,5.57,33870.0,1.1
BE,2015,10.8,5.66,34360.0,1.4
BE,2016,10.6,6.08,34700.0,1.0
BE,2017,10.5,6.09,35250.0,1.6
BG,2000,7.3,8.42,3010.0,5.3
BG,2001,7.9,8.25,3230.0,7.2
BG,2002,7.7,8.21,3440.0,6.6
BG,2003,8.3,9.51,3640.0,5.8
BG,2004,8.3,9.76,3890.0,7.0
BG,2005,8.4,9.58,4190.0,7.7
BG,2006,8.6,9.46,4500.0,7.4
BG,2007,9.1,10.11,4820.0,7.1
BG,2008,9.0,10.69,5140.0,6.6
BG,2009,7.8,10.49,4990.0,-2.9
BG,2010,8.3,10.6,5050.0,1.2
BG,2011,9.0,10.59,5300.0,4.9
BG,2012,8.4,10.13,5350.0,0.9
BG,2013,7.7,10.3,5400.0,0.9
BG,2014,8.2,9.92,5530.0,2.5
BG,2015,8.7,10.83,5790.0,4.7
BG,2016,8.4,10.03,6050.0,4.5
BG,2017,8.8,9.82,6310.0,4.3
CY,2000,13.3,9.05,20130.0,4.9
CY,2001,13.3,9.79,20700.0,2.8
CY,2002,13.4,9.69,21230.0,2.5
CY,2003,13.9,12.01,21520.0,1.4
CY,2004,13.8,12.32,22300.0,3.6
CY,2005,13.8,10.58,23050.0,3.4
CY,2006,13.8,9.63,23740.0,3.0
CY,2007,14.0,8.7,24420.0,2.9
CY,2008,13.8,8.69,24680.0,1.1
CY,2009,13.1,8.76,23550.0,-4.6
CY,2010,12.4,8.67,23400.0,-0.6
CY,2011,11.7,8.68,22900.0,-2.1
CY,2012,10.9,8.15,21780.0,-4.9
CY,2013,10.0,8.56,20400.0,-6.3
CY,2014,10.6,9.06,20240.0,-0.8
CY,2015,10.7,8.78,21040.0,4.0
CY,2016,11.3,8.69,22360.0,6.3
CY,2017,11.6,8.47,23120.0,3.4
CZ,2000,14.7,6.94,11170.0,4.4
CZ,2001,14.8,7.19,11540.0,3.4
CZ,2002,14.4,6.81,11760.0,1.9
CZ,2003,14.8,6.87,12180.0,3.6
CZ,2004,14.9,7.02,12780.0,4.9
CZ,2005,14.6,7.21,13570.0,6.3
CZ,2006,14.7,7.01,14460.0,6.5
CZ,2007,14.8,6.71,15190.0,5.0
CZ,2008,14.2,6.81,15430.0,1.6
CZ,2009,13.3,7.15,14610.0,-5.4
CZ,2010,13.5,6.99,14900.0,2.0
CZ,2011,13.3,6.95,15200.0,2.0
CZ,2012,12.9,6.53,15060.0,-0.9
CZ,2013,12.4,6.12,14980.0,-0.5
CZ,2014,12.2,6.18,15370.0,2.6
CZ,2015,12.3,6.09,16160.0,5.1
CZ,2016,12.4,6.07,16520.0,2.2
CZ,2017,12.3,5.86,17200.0,4.1
DE,2000,13.0,5.83,28900.0,2.9
DE,2001,13.1,6.47,29370.0,1.6
DE,2002,12.8,6.56,29290.0,-0.3
DE,2003,12.8,6.84,29090.0,-0.7
DE,2004,12.6,6.68,29470.0,1.3
DE,2005,12.3,6.49,29730.0,0.9
DE,2006,12.4,6.26,30930.0,4.0
DE,2007,12.1,5.77,31920.0,3.2
DE,2008,12.2,5.69,32320.0,1.2
DE,2009,11.4,5.85,30580.0,-5.4
DE,2010,11.8,5.77,31940.0,4.4
DE,2011,11.8,5.78,33200.0,3.9
DE,2012,11.8,5.53,33280.0,0.2
DE,2013,12.0,5.36,33330.0,0.2
DE,2014,11.5,5.2,33930.0,1.8
DE,2015,11.4,4.96,34220.0,0.9
DE,2016,11.4,4.76,34700.0,1.4
DE,2017,11.3,4.61,35420.0,2.1
DK,2000,13.7,10.32,42190.0,3.4
DK,2001,13.9,10.49,42390.0,0.5
DK,2002,13.8,11.01,42430.0,0.1
DK,2003,14.7,10.54,42490.0,0.1
DK,2004,13.5,10.75,43520.0,2.4
DK,2005,12.7,10.25,44400.0,2.0
DK,2006,14.1,10.07,45990.0,3.6
DK,2007,13.2,10.21,46210.0,0.5
DK,2008,12.4,9.32,45700.0,-1.1
DK,2009,11.8,8.88,43220.0,-5.4
DK,2010,11.8,8.92,43840.0,1.4
DK,2011,10.8,8.92,44240.0,0.9
DK,2012,10.0,8.67,44170.0,-0.1
DK,2013,10.2,8.95,44410.0,0.5
DK,2014,9.5,8.17,44890.0,1.1
DK,2015,8.9,8.57,45630.0,1.6
DK,2016,9.3,8.54,46720.0,2.4
DK,2017,8.8,8.08,47360.0,1.4
ES,2000,9.8,6.44,21460.0,4.8
ES,2001,9.7,6.16,22190.0,3.4
ES,2002,10.0,6.06,22430.0,1.1
ES,2003,10.0,6.03,22680.0,1.1
ES,2004,10.2,5.74,23020.0,1.5
ES,2005,10.4,5.39,23420.0,1.7
ES,2006,10.0,5.08,24000.0,2.5
ES,2007,10.1,4.86,24380.0,1.6
