"Entity","Code","Year","CO2TonnesPC","GDPPC2011","Population"
"Austria","AUT",1991,8.478349759,29999,7773000
"Austria","AUT",1992,7.717019055,30292,7831000
"Austria","AUT",1993,7.702366539,30202,7892000
"Austria","AUT",1994,7.699602055,30808,7947000
"Austria","AUT",1995,8.035666822,31582,7990000
"Austria","AUT",1996,8.440389595,32296,8018000
"Austria","AUT",1997,8.397118455,32971,8033000
"Austria","AUT",1998,8.339005981,34107,8041000
"Austria","AUT",1999,8.150550733,35263,8051000
"Austria","AUT",2000,8.21160945,36363,8069000
"Austria","AUT",2001,8.692646083,36713,8098000
"Austria","AUT",2002,8.869299737,37138,8134000
"Austria","AUT",2003,9.511455102,37237,8176000
"Austria","AUT",2004,9.499135732,38008,8217000
"Austria","AUT",2005,9.615949293,38558,8254000
"Austria","AUT",2006,9.256598372,39653,8285000
"Austria","AUT",2007,8.906887623,40956,8314000
"Austria","AUT",2008,8.851314632,41460,8342000
"Austria","AUT",2009,8.062455597,39781,8373000
"Austria","AUT",2010,8.606846977,40450,8410000
"Austria","AUT",2011,8.288037542,41446,8454000
"Austria","AUT",2012,7.943764984,41565,8502000
"Austria","AUT",2013,7.927600682,41375,8556000
"Austria","AUT",2014,7.442567916,41338,8615000
"Austria","AUT",2015,7.685980438,41294,8679000
"Austria","AUT",2016,7.736572851,41445,8747000
"Belgium","BEL",1991,12.3059302,28621,10039000
"Belgium","BEL",1992,12.17072647,28941,10078000
"Belgium","BEL",1993,12.01316343,28551,10119000
"Belgium","BEL",1994,12.30200723,29382,10156000
"Belgium","BEL",1995,12.37769379,30020,10186000
"Belgium","BEL",1996,12.69397862,30439,10208000
"Belgium","BEL",1997,12.13315578,31492,10224000
"Belgium","BEL",1998,12.7265124,32045,10237000
"Belgium","BEL",1999,12.1641887,33111,10255000
"Belgium","BEL",2000,12.33168473,34231,10282000
"Belgium","BEL",2001,12.22296478,34391,10319000
"Belgium","BEL",2002,12.19932748,34846,10365000
"Belgium","BEL",2003,12.28071712,34969,10419000
"Belgium","BEL",2004,12.31292386,36084,10480000
"Belgium","BEL",2005,11.9123504,36638,10547000
"Belgium","BEL",2006,11.67946758,37306,10619000
"Belgium","BEL",2007,11.27437484,38292,10698000
"Belgium","BEL",2008,11.19371681,38274,10779000
"Belgium","BEL",2009,9.911555496,37100,10860000
"Belgium","BEL",2010,10.38346664,37791,10939000
"Belgium","BEL",2011,9.45771878,38130,11014000
"Belgium","BEL",2012,9.148239976,37906,11085000
"Belgium","BEL",2013,9.144091131,37737,11154000
"Belgium","BEL",2014,8.591644353,38228,11221000
"Belgium","BEL",2015,8.879342892,38569,11288000
"Belgium","BEL",2016,8.825529525,38766,11354000
"Denmark","DNK",1991,12.45821351,33530,5155000
"Denmark","DNK",1992,11.29492042,34074,5172000
"Denmark","DNK",1993,11.68492185,33964,5191000
"Denmark","DNK",1994,12.41815932,35654,5211000
"Denmark","DNK",1995,11.77756188,36543,5233000
"Denmark","DNK",1996,14.24919011,37391,5255000
"Denmark","DNK",1997,12.40491871,38450,5278000
"Denmark","DNK",1998,11.55189373,39160,5300000
"Denmark","DNK",1999,11.02066835,40181,5322000
"Denmark","DNK",2000,10.16767984,41548,5341000
"Denmark","DNK",2001,10.42928435,41740,5358000
"Denmark","DNK",2002,10.33942783,41801,5373000
"Denmark","DNK",2003,11.25591582,41850,5387000
"Denmark","DNK",2004,10.20036486,42856,5403000
"Denmark","DNK",2005,9.504778029,43736,5422000
"Denmark","DNK",2006,10.91762881,45299,5444000
"Denmark","DNK",2007,9.992237102,45508,5470000
"Denmark","DNK",2008,9.314752189,45010,5498000
"Denmark","DNK",2009,8.834517693,42573,5526000
"Denmark","DNK",2010,8.87374597,43178,5555000
"Denmark","DNK",2011,7.937766625,43575,5583000
"Denmark","DNK",2012,7.108051117,43510,5611000
"Denmark","DNK",2013,7.418661147,43733,5638000
"Denmark","DNK",2014,6.642673672,44241,5664000
"Denmark","DNK",2015,6.207947141,44635,5689000
"Denmark","DNK",2016,6.498282097,44836,5711000
"Finland","FIN",1991,11.00296711,25551,5019000
"Finland","FIN",1992,10.75942153,24563,5045000
"Finland","FIN",1993,11.11018696,24265,5072000
"Finland","FIN",1994,12.10719912,25112,5097000
"Finland","FIN",1995,11.3579807,26069,5119000
"Finland","FIN",1996,12.47004319,26935,5137000
"Finland","FIN",1997,12.17417767,28534,5152000
"Finland","FIN",1998,11.49734365,30003,5164000
"Finland","FIN",1999,11.37927043,31263,5176000
"Finland","FIN",2000,10.99499571,32957,5188000
"Finland","FIN",2001,12.02567574,33730,5200000
"Finland","FIN",2002,12.47979375,34214,5213000
"Finland","FIN",2003,13.90031338,34813,5227000
"Finland","FIN",2004,13.15512435,36075,5242000
"Finland","FIN",2005,10.84727275,36951,5259000
"Finland","FIN",2006,12.95668616,38302,5277000
"Finland","FIN",2007,12.60012957,40117,5298000
"Finland","FIN",2008,11.0168976,40219,5319000
"Finland","FIN",2009,10.4476746,36717,5342000
"Finland","FIN",2010,11.92589508,37643,5366000
"Finland","FIN",2011,10.49203986,38432,5390000
"Finland","FIN",2012,9.44246799,37704,5415000
"Finland","FIN",2013,9.546668238,37246,5439000
"Finland","FIN",2014,8.754969071,36858,5461000
"Finland","FIN",2015,8.089448286,36836,5481000
"Finland","FIN",2016,8.708927689,37239,5498000
"France","FRA",1991,7.488935419,29158,56914000
"France","FRA",1992,7.277690226,29449,57147000
"France","FRA",1993,6.903559588,29113,57370000
"France","FRA",1994,6.783763256,29656,57587000
"France","FRA",1995,6.877601897,30135,57802000
"France","FRA",1996,7.114389149,30415,58012000
"France","FRA",1997,6.96777098,30987,58221000
"France","FRA",1998,7.280249704,31941,58444000
"France","FRA",1999,7.176375383,32872,58704000
"France","FRA",2000,7.056960323,33967,59015000
"France","FRA",2001,7.108555511,34434,59384000
"France","FRA",2002,6.989106965,34618,59803000
"France","FRA",2003,7.068572655,34707,60252000
"France","FRA",2004,7.044697812,35465,60698000
"France","FRA",2005,7.065355486,35817,61120000
"France","FRA",2006,6.853084769,36439,61509000
"France","FRA",2007,6.663848062,37068,61869000
"France","FRA",2008,6.526450329,36928,62209000
"France","FRA",2009,6.172553696,35642,62543000
"France","FRA",2010,6.313200851,36141,62880000
"France","FRA",2011,5.885247303,36691,63222000
"France","FRA",2012,5.878588439,36571,63564000
"France","FRA",2013,5.855117145,36632,63894000
"France","FRA",2014,5.352379151,36527,64194000
"France","FRA",2015,5.401470515,36827,64453000
"France","FRA",2016,5.409470867,37124,64668000
"Germany","DEU",1991,12.75660468,33545,79491000
"Germany","DEU",1992,12.07685497,33931,79963000
"Germany","DEU",1993,11.88516063,33387,80429000
"Germany","DEU",1994,11.6198677,34089,80833000
"Germany","DEU",1995,11.57163659,34579,81139000
"Germany","DEU",1996,11.79193778,34761,81324000
"Germany","DEU",1997,11.4398637,35352,81399000
"Germany","DEU",1998,11.34249375,36047,81403000
"Germany","DEU",1999,11.00717894,36739,81390000
"Germany","DEU",2000,11.05638595,37776,81401000
"Germany","DEU",2001,11.25243498,38352,81454000
"Germany","DEU",2002,11.03951081,38288,81535000
"Germany","DEU",2003,11.04184804,37995,81614000
"Germany","DEU",2004,10.86690752,38448,81646000
"Germany","DEU",2005,10.61846948,38741,81603000
"Germany","DEU",2006,10.77683747,40220,81472000
"Germany","DEU",2007,10.47515951,41587,81278000
"Germany","DEU",2008,10.53138199,42117,81066000
"Germany","DEU",2009,9.756778243,39852,80900000
"Germany","DEU",2010,10.30579311,41576,80827000
"Germany","DEU",2011,10.0180706,43189,80856000
"Germany","DEU",2012,10.0559435,43320,80973000
"Germany","DEU",2013,10.24600469,43413,81174000
"Germany","DEU",2014,9.73909872,43922,81450000
"Germany","DEU",2015,9.755228662,44293,81787000
"Germany","DEU",2016,9.7876606,44689,82194000
"Greece","GRC",1991,8.059544258,19628,10315000
"Greece","GRC",1992,8.124811987,19615,10420000
"Greece","GRC",1993,7.969163668,19188,10534000
"Greece","GRC",1994,8.085490314,19474,10645000
"Greece","GRC",1995,8.058450229,19790,10746000
"Greece","GRC",1996,8.18851871,20267,10832000
"Greece","GRC",1997,8.557900888,21071,10906000
"Greece","GRC",1998,8.941183805,21771,10970000
"Greece","GRC",1999,8.831316612,22354,11028000
"Greece","GRC",2000,9.242613345,23136,11082000
"Greece","GRC",2001,9.421067838,23967,11134000
"Greece","GRC",2002,9.361975525,24816,11182000
"Greece","GRC",2003,9.701830571,26191,11219000
"Greece","GRC",2004,9.718313675,27448,11235000
"Greece","GRC",2005,10.08079423,27532,11225000
"Greece","GRC",2006,9.91861638,29001,11185000
"Greece","GRC",2007,10.06797907,29874,11120000
"Greece","GRC",2008,9.729944213,29695,11040000
"Greece","GRC",2009,9.117625152,28343,10959000
"Greece","GRC",2010,8.504537242,26756,10888000
"Greece","GRC",2011,8.275699644,24349,10829000
"Greece","GRC",2012,8.034429274,22693,10781000
"Greece","GRC",2013,7.21848018,22118,10741000
"Greece","GRC",2014,6.982488194,22344,10701000
"Greece","GRC",2015,6.682455706,22442,10660000
"Greece","GRC",2016,6.381875336,22574,10615000
"Italy","ITA",1991,7.700350802,30559,57088000
"Italy","ITA",1992,7.679995838,30793,57145000
"Italy","ITA",1993,7.541958094,30512,57198000
"Italy","ITA",1994,7.431973376,31162,57214000
"Italy","ITA",1995,7.894112008,32061,57174000
"Italy","ITA",1996,7.768026162,32464,57065000
"Italy","ITA",1997,7.859865329,33043,56904000
"Italy","ITA",1998,8.052698308,33567,56743000
"Italy","ITA",1999,8.12524558,34085,56656000
"Italy","ITA",2000,8.216742406,35333,56692000
"Italy","ITA",2001,8.280854694,35939,56875000
"Italy","ITA",2002,8.264615363,35975,57183000
"Italy","ITA",2003,8.452377787,35870,57565000
"Italy","ITA",2004,8.471327353,36202,57948000
"Italy","ITA",2005,8.421132286,36367,58281000
"Italy","ITA",2006,8.289625175,36985,58543000
"Italy","ITA",2007,8.100879169,37341,58748000
"Italy","ITA",2008,7.86627393,36705,58922000
"Italy","ITA",2009,6.973834186,34535,59106000
"Italy","ITA",2010,7.113251867,35010,59325000
"Italy","ITA",2011,6.918206103,35151,59589000
"Italy","ITA",2012,6.562283687,34068,59879000
"Italy","ITA",2013,6.090365056,33094,60167000
"Italy","ITA",2014,5.848323125,32829,60410000
"Italy","ITA",2015,5.974084891,33118,60578000
"Italy","ITA",2016,5.894722874,33419,60663000
"Netherlands","NLD",1991,11.33921537,31570,15065000
"Netherlands","NLD",1992,11.25256758,31867,15166000
"Netherlands","NLD",1993,11.18654429,32043,15268000
"Netherlands","NLD",1994,11.15212839,32794,15369000
"Netherlands","NLD",1995,11.1866029,33649,15468000
"Netherlands","NLD",1996,11.72461658,34689,15563000
"Netherlands","NLD",1997,11.19687408,35995,15655000
"Netherlands","NLD",1998,11.20323357,37392,15746000
"Netherlands","NLD",1999,10.79795578,39021,15836000
"Netherlands","NLD",2000,10.79579126,40385,15926000
"Netherlands","NLD",2001,11.05494908,40933,16018000
"Netherlands","NLD",2002,10.94792129,40715,16110000
"Netherlands","NLD",2003,11.09960759,40638,16201000
"Netherlands","NLD",2004,11.14086623,41319,16287000
"Netherlands","NLD",2005,10.84677508,42113,16367000
"Netherlands","NLD",2006,10.5069568,43525,16440000
"Netherlands","NLD",2007,10.45616253,45037,16507000
"Netherlands","NLD",2008,10.59339957,45624,16568000
"Netherlands","NLD",2009,10.23523003,43680,16626000
"Netherlands","NLD",2010,10.92013079,44066,16683000
"Netherlands","NLD",2011,10.10447988,44591,16738000
