"TIME","GEO","SIEC","PLANT_TEC","UNIT","Value"
"1990","European Union - 27 countries (from 2020)","Wind","Net maximum electrical capacity","Megawatt","443.981"
"1990","European Union - 28 countries (2013-2020)","Wind","Net maximum electrical capacity","Megawatt","453.981"
"1990","Euro area - 19 countries  (from 2015)","Wind","Net maximum electrical capacity","Megawatt","110.000"
"1990","Belgium","Wind","Net maximum electrical capacity","Megawatt","5.000"
"1990","Bulgaria","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Czechia","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Denmark","Wind","Net maximum electrical capacity","Megawatt","325.981"
"1990","Germany (until 1990 former territory of the FRG)","Wind","Net maximum electrical capacity","Megawatt","48.000"
"1990","Estonia","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Ireland","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Greece","Wind","Net maximum electrical capacity","Megawatt","1.000"
"1990","Spain","Wind","Net maximum electrical capacity","Megawatt","2.000"
"1990","France","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Croatia","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Italy","Wind","Net maximum electrical capacity","Megawatt","3.000"
"1990","Cyprus","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Latvia","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Lithuania","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Luxembourg","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Hungary","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Malta","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Netherlands","Wind","Net maximum electrical capacity","Megawatt","50.000"
"1990","Austria","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Poland","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Portugal","Wind","Net maximum electrical capacity","Megawatt","1.000"
"1990","Romania","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Slovenia","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Slovakia","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Finland","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Sweden","Wind","Net maximum electrical capacity","Megawatt","8.000"
"1990","United Kingdom","Wind","Net maximum electrical capacity","Megawatt","10.000"
"1990","Iceland","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Norway","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Montenegro","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","North Macedonia","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Albania","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Serbia","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Turkey","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Bosnia and Herzegovina","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Kosovo (under United Nations Security Council Resolution 1244/99)","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Moldova","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Ukraine","Wind","Net maximum electrical capacity","Megawatt",":"
"1990","Georgia","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","European Union - 27 countries (from 2020)","Wind","Net maximum electrical capacity","Megawatt","613.859"
"1991","European Union - 28 countries (2013-2020)","Wind","Net maximum electrical capacity","Megawatt","627.859"
"1991","Euro area - 19 countries  (from 2015)","Wind","Net maximum electrical capacity","Megawatt","209.000"
"1991","Belgium","Wind","Net maximum electrical capacity","Megawatt","5.000"
"1991","Bulgaria","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Czechia","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Denmark","Wind","Net maximum electrical capacity","Megawatt","392.859"
"1991","Germany (until 1990 former territory of the FRG)","Wind","Net maximum electrical capacity","Megawatt","110.000"
"1991","Estonia","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Ireland","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Greece","Wind","Net maximum electrical capacity","Megawatt","1.000"
"1991","Spain","Wind","Net maximum electrical capacity","Megawatt","3.000"
"1991","France","Wind","Net maximum electrical capacity","Megawatt","1.000"
"1991","Croatia","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Italy","Wind","Net maximum electrical capacity","Megawatt","4.000"
"1991","Cyprus","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Latvia","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Lithuania","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Luxembourg","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Hungary","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Malta","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Netherlands","Wind","Net maximum electrical capacity","Megawatt","83.000"
"1991","Austria","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Poland","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Portugal","Wind","Net maximum electrical capacity","Megawatt","1.000"
"1991","Romania","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Slovenia","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Slovakia","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Finland","Wind","Net maximum electrical capacity","Megawatt","1.000"
"1991","Sweden","Wind","Net maximum electrical capacity","Megawatt","12.000"
"1991","United Kingdom","Wind","Net maximum electrical capacity","Megawatt","14.000"
"1991","Iceland","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Norway","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Montenegro","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","North Macedonia","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Albania","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Serbia","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Turkey","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Bosnia and Herzegovina","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Kosovo (under United Nations Security Council Resolution 1244/99)","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Moldova","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Ukraine","Wind","Net maximum electrical capacity","Megawatt",":"
"1991","Georgia","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","European Union - 27 countries (from 2020)","Wind","Net maximum electrical capacity","Megawatt","812.449"
"1992","European Union - 28 countries (2013-2020)","Wind","Net maximum electrical capacity","Megawatt","862.449"
"1992","Euro area - 19 countries  (from 2015)","Wind","Net maximum electrical capacity","Megawatt","356.500"
"1992","Belgium","Wind","Net maximum electrical capacity","Megawatt","5.000"
"1992","Bulgaria","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Czechia","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Denmark","Wind","Net maximum electrical capacity","Megawatt","435.949"
"1992","Germany (until 1990 former territory of the FRG)","Wind","Net maximum electrical capacity","Megawatt","183.000"
"1992","Estonia","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Ireland","Wind","Net maximum electrical capacity","Megawatt","6.500"
"1992","Greece","Wind","Net maximum electrical capacity","Megawatt","16.000"
"1992","Spain","Wind","Net maximum electrical capacity","Megawatt","33.000"
"1992","France","Wind","Net maximum electrical capacity","Megawatt","1.000"
"1992","Croatia","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Italy","Wind","Net maximum electrical capacity","Megawatt","7.000"
"1992","Cyprus","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Latvia","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Lithuania","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Luxembourg","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Hungary","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Malta","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Netherlands","Wind","Net maximum electrical capacity","Megawatt","101.000"
"1992","Austria","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Poland","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Portugal","Wind","Net maximum electrical capacity","Megawatt","3.000"
"1992","Romania","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Slovenia","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Slovakia","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Finland","Wind","Net maximum electrical capacity","Megawatt","1.000"
"1992","Sweden","Wind","Net maximum electrical capacity","Megawatt","20.000"
"1992","United Kingdom","Wind","Net maximum electrical capacity","Megawatt","50.000"
"1992","Iceland","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Norway","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Montenegro","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","North Macedonia","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Albania","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Serbia","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Turkey","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Bosnia and Herzegovina","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Kosovo (under United Nations Security Council Resolution 1244/99)","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Moldova","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Ukraine","Wind","Net maximum electrical capacity","Megawatt",":"
"1992","Georgia","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","European Union - 27 countries (from 2020)","Wind","Net maximum electrical capacity","Megawatt","1,070.599"
"1993","European Union - 28 countries (2013-2020)","Wind","Net maximum electrical capacity","Megawatt","1,201.599"
"1993","Euro area - 19 countries  (from 2015)","Wind","Net maximum electrical capacity","Megawatt","572.500"
"1993","Belgium","Wind","Net maximum electrical capacity","Megawatt","5.000"
"1993","Bulgaria","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Czechia","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Denmark","Wind","Net maximum electrical capacity","Megawatt","468.099"
"1993","Germany (until 1990 former territory of the FRG)","Wind","Net maximum electrical capacity","Megawatt","334.000"
"1993","Estonia","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Ireland","Wind","Net maximum electrical capacity","Megawatt","6.500"
"1993","Greece","Wind","Net maximum electrical capacity","Megawatt","27.000"
"1993","Spain","Wind","Net maximum electrical capacity","Megawatt","34.000"
"1993","France","Wind","Net maximum electrical capacity","Megawatt","3.000"
"1993","Croatia","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Italy","Wind","Net maximum electrical capacity","Megawatt","18.000"
"1993","Cyprus","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Latvia","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Lithuania","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Luxembourg","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Hungary","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Malta","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Netherlands","Wind","Net maximum electrical capacity","Megawatt","131.000"
"1993","Austria","Wind","Net maximum electrical capacity","Megawatt","1.000"
"1993","Poland","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Portugal","Wind","Net maximum electrical capacity","Megawatt","8.000"
"1993","Romania","Wind","Net maximum electrical capacity","Megawatt","1.000"
"1993","Slovenia","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Slovakia","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Finland","Wind","Net maximum electrical capacity","Megawatt","5.000"
"1993","Sweden","Wind","Net maximum electrical capacity","Megawatt","29.000"
"1993","United Kingdom","Wind","Net maximum electrical capacity","Megawatt","131.000"
"1993","Iceland","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Norway","Wind","Net maximum electrical capacity","Megawatt","3.000"
"1993","Montenegro","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","North Macedonia","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Albania","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Serbia","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Turkey","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Bosnia and Herzegovina","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Kosovo (under United Nations Security Council Resolution 1244/99)","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Moldova","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Ukraine","Wind","Net maximum electrical capacity","Megawatt",":"
"1993","Georgia","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","European Union - 27 countries (from 2020)","Wind","Net maximum electrical capacity","Megawatt","1,473.737"
"1994","European Union - 28 countries (2013-2020)","Wind","Net maximum electrical capacity","Megawatt","1,626.737"
"1994","Euro area - 19 countries  (from 2015)","Wind","Net maximum electrical capacity","Megawatt","912.500"
"1994","Belgium","Wind","Net maximum electrical capacity","Megawatt","5.000"
"1994","Bulgaria","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Czechia","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Denmark","Wind","Net maximum electrical capacity","Megawatt","521.237"
"1994","Germany (until 1990 former territory of the FRG)","Wind","Net maximum electrical capacity","Megawatt","643.000"
"1994","Estonia","Wind","Net maximum electrical capacity","Megawatt",":"
"1994","Ireland","Wind","Net maximum electrical capacity","Megawatt","6.500"
"1994","Greece","Wind","Net maximum electrical capacity","Megawatt","27.000"
"1994","Spain","Wind","Net maximum electrical capacity","Megawatt","41.000"
"1994","France","Wind","Net maximum electrical capacity","Megawatt","3.000"
"1994","Croatia","Wind","Net maximum electrical capacity","Megawatt",":"
