"Year","Code","Entity","CO2TonnesPC","GDPPC2011","Population","Unit","Megawatts"
1990,"DNK",NA,NA,NA,NA,"Megawatt","325.981"
1990,"ESP",NA,NA,NA,NA,"Megawatt","2.000"
1990,"GBR",NA,NA,NA,NA,"Megawatt","10.000"
1990,"SWE",NA,NA,NA,NA,"Megawatt","8.000"
1991,"DEU","Germany",12.75660468,33545,79491000,NA,NA
1991,"DNK","Denmark",12.45821351,33530,5155000,"Megawatt","392.859"
1991,"ESP","Spain",6.128055503,23425,39299000,"Megawatt","3.000"
1991,"FIN","Finland",11.00296711,25551,5019000,"Megawatt","1.000"
1991,"FRA","France",7.488935419,29158,56914000,"Megawatt","1.000"
1991,"GBR","United Kingdom",10.62131663,25314,57291000,"Megawatt","14.000"
1991,"NLD","Netherlands",11.33921537,31570,15065000,NA,NA
1991,"NOR","Norway",7.97975537,57084,4269000,NA,NA
1991,"POL","Poland",9.805817471,9218,38083000,NA,NA
1991,"SWE","Sweden",6.691313244,29187,8625000,"Megawatt","12.000"
1992,"DEU","Germany",12.07685497,33931,79963000,NA,NA
1992,"DNK","Denmark",11.29492042,34074,5172000,"Megawatt","435.949"
1992,"ESP","Spain",6.334902878,23671,39411000,"Megawatt","33.000"
1992,"FIN","Finland",10.75942153,24563,5045000,"Megawatt","1.000"
1992,"FRA","France",7.277690226,29449,57147000,"Megawatt","1.000"
1992,"GBR","United Kingdom",10.32279146,25336,57446000,"Megawatt","50.000"
1992,"NLD","Netherlands",11.25256758,31867,15166000,NA,NA
1992,"NOR","Norway",8.114247567,58784,4293000,NA,NA
1992,"POL","Poland",9.523487939,9428,38198000,NA,NA
1992,"SWE","Sweden",6.61319493,28668,8687000,"Megawatt","20.000"
1993,"DEU","Germany",11.88516063,33387,80429000,NA,NA
1993,"DNK","Denmark",11.68492185,33964,5191000,"Megawatt","468.099"
1993,"ESP","Spain",6.100558856,23166,39534000,"Megawatt","34.000"
1993,"FIN","Finland",11.11018696,24265,5072000,"Megawatt","5.000"
1993,"FRA","France",6.903559588,29113,57370000,"Megawatt","3.000"
1993,"GBR","United Kingdom",10.05026936,25909,57602000,"Megawatt","131.000"
1993,"NLD","Netherlands",11.18654429,32043,15268000,NA,NA
1993,"NOR","Norway",8.462672367,60097,4317000,"Megawatt","3.000"
1993,"POL","Poland",9.519802375,9762,38301000,NA,NA
1993,"SWE","Sweden",6.561927965,27917,8747000,"Megawatt","29.000"
1994,"DEU","Germany",11.6198677,34089,80833000,NA,NA
1994,"DNK","Denmark",12.41815932,35654,5211000,"Megawatt","521.237"
1994,"ESP","Spain",6.393482926,23690,39660000,"Megawatt","41.000"
1994,"FIN","Finland",12.10719912,25112,5097000,"Megawatt","5.000"
1994,"FRA","France",6.783763256,29656,57587000,"Megawatt","3.000"
1994,"GBR","United Kingdom",9.957614752,26847,57763000,"Megawatt","153.000"
1994,"NLD","Netherlands",11.15212839,32794,15369000,NA,NA
1994,"NOR","Norway",8.855220348,62777,4342000,"Megawatt","3.000"
1994,"POL","Poland",9.368893584,10248,38389000,NA,NA
1994,"SWE","Sweden",6.801989165,28832,8798000,"Megawatt","40.000"
1995,"DEU","Germany",11.57163659,34579,81139000,NA,NA
1995,"DNK","Denmark",11.77756188,36543,5233000,"Megawatt","599.499"
1995,"ESP","Spain",6.714185089,24465,39787000,"Megawatt","98.000"
1995,"FIN","Finland",11.3579807,26069,5119000,"Megawatt","6.000"
1995,"FRA","France",6.877601897,30135,57802000,"Megawatt","3.000"
1995,"GBR","United Kingdom",9.77665603,27447,57932000,"Megawatt","200.000"
1995,"NLD","Netherlands",11.1866029,33649,15468000,NA,NA
1995,"NOR","Norway",8.810914617,65046,4367000,"Megawatt","3.000"
1995,"POL","Poland",9.396075955,10950,38459000,NA,NA
1995,"SWE","Sweden",6.708160803,29811,8836000,"Megawatt","67.000"
1996,"DEU","Germany",11.79193778,34761,81324000,NA,NA
1996,"DNK","Denmark",14.24919011,37391,5255000,"Megawatt","814.221"
1996,"ESP","Spain",6.38471162,25017,39909000,"Megawatt","227.000"
1996,"FIN","Finland",12.47004319,26935,5137000,"Megawatt","7.000"
1996,"FRA","France",7.114389149,30415,58012000,"Megawatt","6.000"
1996,"GBR","United Kingdom",10.11909215,28075,58114000,"Megawatt","238.000"
1996,"NLD","Netherlands",11.72461658,34689,15563000,NA,NA
1996,"NOR","Norway",9.467756667,67972,4393000,"Megawatt","4.000"
1996,"POL","Poland",9.747259381,11604,38510000,NA,NA
1996,"SWE","Sweden",7.133159549,30243,8859000,"Megawatt","105.000"
1997,"DEU","Germany",11.4398637,35352,81399000,NA,NA
1997,"DNK","Denmark",12.40491871,38450,5278000,"Megawatt","1,123.347"
1997,"ESP","Spain",6.679499172,25856,40035000,"Megawatt","420.000"
1997,"FIN","Finland",12.17417767,28534,5152000,"Megawatt","12.000"
1997,"FRA","France",6.96777098,30987,58221000,"Megawatt","7.000"
1997,"GBR","United Kingdom",9.640390903,28879,58307000,"Megawatt","322.000"
1997,"NLD","Netherlands",11.19687408,35995,15655000,NA,NA
1997,"NOR","Norway",9.433583258,71177,4420000,"Megawatt","4.000"
1997,"POL","Poland",9.511733154,12346,38545000,NA,NA
1997,"SWE","Sweden",6.554704499,31043,8869000,"Megawatt","123.000"
1998,"DEU","Germany",11.34249375,36047,81403000,NA,NA
1998,"DNK","Denmark",11.55189373,39160,5300000,"Megawatt","1,438.482"
1998,"ESP","Spain",6.865669688,26949,40202000,"Megawatt","848.000"
1998,"FIN","Finland",11.49734365,30003,5164000,"Megawatt","17.000"
1998,"FRA","France",7.280249704,31941,58444000,"Megawatt","15.000"
1998,"GBR","United Kingdom",9.69317243,29714,58510000,"Megawatt","331.000"
1998,"NLD","Netherlands",11.20323357,37392,15746000,NA,NA
1998,"NOR","Norway",9.433793215,72611,4447000,"Megawatt","5.000"
1998,"POL","Poland",8.748925208,12911,38564000,"Megawatt","2.000"
1998,"SWE","Sweden",6.619105074,32330,8871000,"Megawatt","174.000"
1999,"DEU","Germany",11.00717894,36739,81390000,NA,NA
1999,"DNK","Denmark",11.02066835,40181,5322000,"Megawatt","1,753.445"
1999,"ESP","Spain",7.404504491,28127,40454000,"Megawatt","1,613.000"
1999,"FIN","Finland",11.37927043,31263,5176000,"Megawatt","38.000"
1999,"FRA","France",7.176375383,32872,58704000,"Megawatt","18.000"
1999,"GBR","United Kingdom",9.5410479,30587,58716000,"Megawatt","357.000"
1999,"NLD","Netherlands",10.79795578,39021,15836000,NA,NA
1999,"NOR","Norway",9.546144509,73567,4474000,"Megawatt","14.000"
1999,"POL","Poland",8.496837552,13512,38568000,"Megawatt","3.000"
1999,"SWE","Sweden",6.295091238,33810,8873000,"Megawatt","196.000"
2000,"DEU","Germany",11.05638595,37776,81401000,NA,NA
2000,"DNK","Denmark",10.16767984,41548,5341000,"Megawatt","2,390.015"
2000,"ESP","Spain",7.625862087,29481,40825000,"Megawatt","2,206.000"
2000,"FIN","Finland",10.99499571,32957,5188000,"Megawatt","38.000"
2000,"FRA","France",7.056960323,33967,59015000,"Megawatt","38.000"
2000,"GBR","United Kingdom",9.619224686,31619,58923000,"Megawatt","412.000"
2000,"NLD","Netherlands",10.79579126,40385,15926000,NA,NA
2000,"NOR","Norway",9.382627592,75434,4499000,"Megawatt","13.000"
2000,"POL","Poland",8.225504249,14132,38557000,"Megawatt","4.000"
2000,"SWE","Sweden",6.161585079,35261,8882000,"Megawatt","209.000"
2001,"DEU","Germany",11.25243498,38352,81454000,NA,NA
2001,"DNK","Denmark",10.42928435,41740,5358000,"Megawatt","2,497.153"
2001,"ESP","Spain",7.583378736,30501,41319000,"Megawatt","3,397.000"
2001,"FIN","Finland",12.02567574,33730,5200000,"Megawatt","39.000"
